Time,Mass,Temperature
[s],[g],[K]
567,136.201567,630.8974376
568,136.114314,634.6985497
569,135.963746,639.3887261
570,135.867228,629.7283461
571,135.737507,627.8495402
572,135.563774,626.9176769
573,135.448724,631.3531934
574,135.386953,622.5568682
575,135.261093,625.0587232
576,135.104347,629.4821743
577,134.964589,631.3760961
578,134.862666,625.7008572
579,134.78854,621.6917423
580,134.624072,619.175641
581,134.522921,618.1608666
582,134.392428,623.880985
583,134.213291,623.6349205
584,134.092836,626.1152275
585,133.992457,631.226084
586,133.885129,632.5773982
587,133.744598,633.2130212
588,133.578587,631.7860612
589,133.464309,628.8604676
590,133.34231,638.5374067
591,133.22726,639.1572719
592,133.148501,637.9851666
593,133.024186,640.4876156
594,132.835782,639.2374783
595,132.714555,631.8776753
596,132.641201,634.5645361
597,132.532329,635.0215623
598,132.396431,627.0252844
599,132.235825,630.5378824
600,132.145484,626.7722938
601,131.974067,629.3985914
602,131.833537,627.3801661
603,131.754778,629.6195719
604,131.657487,632.7228444
605,131.499969,633.2072947
606,131.360983,627.7499399
607,131.283769,637.7881072
608,131.147099,638.1868118
609,130.995758,632.2796393
610,130.905417,633.0652791
611,130.759481,641.1946653
612,130.63285,626.0488358
613,130.523205,619.4799739
614,130.387307,628.3876234
615,130.250637,628.3773195
616,130.138676,633.6299146
617,130.005867,634.6229521
618,129.885412,623.9645334
619,129.757236,625.7580899
620,129.646819,621.3404439
621,129.513238,613.3580275
622,129.402821,628.5937035
623,129.279278,619.3095009
624,129.151874,615.1936334
625,129.038368,621.7901533
626,128.892432,627.0000996
627,128.773522,624.4772807
628,128.6577,624.3021661
629,128.527207,623.3476603
630,128.41293,620.3872927
631,128.311779,627.9056372
632,128.155805,622.1151435
633,128.016047,622.7731584
634,127.914123,630.4542929
635,127.789808,635.3583285
636,127.676303,642.3475688
637,127.551987,634.2461161
638,127.425355,632.2177979
639,127.320343,615.7895442
640,127.202205,641.0823599
641,127.09256,645.8229259
642,126.964384,644.4805881
643,126.849334,646.9968655
644,126.749727,648.689171
645,126.633133,649.5480177
646,126.514995,634.8291283
647,126.38373,646.566944
648,126.285667,642.36476
649,126.176023,649.7601579
650,126.065606,656.5791049
651,125.973721,660.7754306
652,125.848633,648.2603416
653,125.753659,645.9857121
654,125.68571,654.7848514
655,125.569116,673.9305866
656,125.486496,675.4895736
657,125.396155,680.3675973
658,125.317396,692.2626264
659,125.212385,707.6086576
660,125.142119,714.7252141
661,125.087297,710.5721017
662,125.021664,706.5422955
663,124.967614,717.8757247
664,124.891172,711.3392683
665,124.820907,722.6477852
666,124.785388,730.680957
667,124.713578,711.6525978
668,124.667249,716.000774
669,124.600845,724.9479454
670,124.549883,728.156115
671,124.507415,731.6338012
672,124.437922,738.1808547
673,124.379239,743.0209598
674,124.364568,743.9065077
675,124.319784,744.7874915
676,124.277316,745.9248832
677,124.259556,742.4321642
678,124.20319,742.5949464
679,124.176937,747.8857958
680,124.14219,750.7722168
681,124.134469,750.4395387
682,124.081963,747.038113
683,124.06652,749.3410621
684,124.044899,753.9411272
685,124.003976,754.9844888
686,123.988533,751.3925433
687,123.957647,756.8091069
688,123.938343,757.0552571
689,123.902825,760.7364486
690,123.895875,762.9606365
691,123.85804,762.1941554
692,123.848002,765.0487198
693,123.835648,764.5179995
694,123.815572,763.2635405
695,123.810939,765.202505
696,123.786231,767.6100891
697,123.756889,765.0151878
698,123.742218,760.3815807
699,123.733725,764.4255011
700,123.724459,767.479408
701,123.720598,765.4256699
702,123.692029,768.2450072
703,123.682763,767.1417243
704,123.66732,772.2691001
705,123.687396,769.6248047
706,123.633346,770.9087214
707,123.627941,774.8432855
708,123.639523,773.2559151
709,123.636434,771.1238751
710,123.615587,770.2817861
711,123.568485,774.2902321
712,123.580068,775.5409951
713,123.570802,773.5382048
714,123.573119,776.6518437
715,123.562308,777.4919776
716,123.572346,778.7383786
717,123.546093,778.6006561
718,123.543777,778.8622143
719,123.52679,777.7060688
720,123.510575,779.7696019
721,123.526018,781.5486571
722,123.512891,781.6991398
723,123.508258,782.041783
724,123.491271,781.7107155
725,123.502081,778.2951248
726,123.509802,780.3078105
727,123.505942,781.9815884
728,123.486638,784.3594592
729,123.458841,782.4446303
730,123.471195,780.1781757
731,123.451892,780.4594383
732,123.456524,782.8729567
733,123.458069,780.6631544
734,123.460385,780.5601386
735,123.459613,781.3634496
736,123.478917,779.9119649
737,123.461157,783.4992612
738,123.444942,782.7282505
739,123.460385,782.5569201
740,123.441853,783.6729177
741,123.443398,783.8396298
742,123.461157,782.1158691
743,123.437221,782.815074
744,123.443398,783.7863743
745,123.427955,783.9982395
746,123.424867,784.9811939
747,123.423322,785.4929575
748,123.42255,783.4309569
749,123.425639,782.339287
