time,Temp,TGA
[s],[K],[mg]
1409.4,787.5,0.0313
1410.9,788,0.0315
1412.3,788.5,0.0322
1413.8,789,0.0322
1415.3,789.5,0.0322
1416.7,790,0.0322
1418.2,790.5,0.0322
1419.7,791,0.0322
1421.1,791.5,0.0322
1422.6,792,0.0322
1424.1,792.5,0.0322
1425.6,793,0.0322
1427,793.5,0.0322
1428.5,794,0.0322
1430,794.5,0.0322
1431.4,795,0.0322
1432.9,795.5,0.0322
1434.3,796,0.0322
1435.8,796.5,0.0322
1437.3,797,0.0322
1438.8,797.5,0.0322
1440.3,798,0.0322
1441.7,798.5,0.0322
1443.2,799,0.0322
1444.7,799.5,0.0322
1446.2,800,0.0322
1447.6,800.5,0.0322
1449.1,801,0.0322
1450.6,801.5,0.0322
1452,802,0.0322
1453.5,802.5,0.0322
1455,803,0.0322
1456.5,803.5,0.0322
1457.9,804,0.032
1459.4,804.5,0.0313
1460.9,805,0.0313
1462.3,805.5,0.0313
1463.8,806,0.0313
1465.3,806.5,0.0312
1466.7,807,0.0323
1468.2,807.5,0.0326
1469.7,808,0.0326
1471.2,808.5,0.0326
1472.7,809,0.0326
1474.1,809.5,0.0326
1475.6,810,0.0326
1477.1,810.5,0.0328
1478.5,811,0.0335
1480,811.5,0.0336
1481.5,812,0.0336
1482.9,812.5,0.0336
1484.4,813,0.0336
1485.9,813.5,0.0336
1487.4,814,0.0336
1488.8,814.5,0.0336
1490.3,815,0.0323
1491.8,815.5,0.0322
1493.3,816,0.0322
1494.7,816.5,0.0322
1496.2,817,0.0322
1497.7,817.5,0.0322
