Time,Temperature,Heat Flow
[s],[K],[W/g]
1481.7324,376.044,-1.44575
1481.8632,376.144,-1.44736
1481.9952,376.244,-1.44985
1482.1266,376.344,-1.45331
1482.2574,376.444,-1.45662
1482.3888,376.544,-1.45893
1482.5202,376.644,-1.46098
1482.651,376.744,-1.46358
1482.7818,376.844,-1.46528
1482.9132,376.944,-1.46653
1483.044,377.044,-1.46877
1483.1742,377.144,-1.47159
1483.305,377.244,-1.47429
1483.437,377.344,-1.47635
1483.5678,377.444,-1.47774
1483.698,377.544,-1.47949
1483.83,377.644,-1.48273
1483.9614,377.744,-1.48559
1484.0922,377.844,-1.48744
1484.2212,377.944,-1.48948
1484.3514,378.044,-1.49134
1484.4828,378.144,-1.4929
1484.6136,378.244,-1.49485
1484.7444,378.344,-1.4969
1484.8752,378.444,-1.49893
1485.0054,378.544,-1.50161
1485.1356,378.644,-1.50467
1485.2664,378.744,-1.50746
1485.396,378.844,-1.5096
1485.525,378.944,-1.51134
1485.6546,379.044,-1.51307
1485.7842,379.144,-1.51476
1485.9132,379.244,-1.51683
1486.0422,379.344,-1.51961
1486.1718,379.444,-1.52211
1486.302,379.544,-1.52399
1486.431,379.644,-1.52578
1486.5594,379.744,-1.52856
1486.6884,379.844,-1.5318
1486.818,379.944,-1.53376
1486.947,380.044,-1.53587
1487.0748,380.144,-1.53874
1487.2038,380.244,-1.54052
1487.3334,380.344,-1.54142
1487.4624,380.444,-1.5425
1487.5908,380.544,-1.5446
1487.7198,380.644,-1.5475
1487.8482,380.744,-1.55066
1487.9772,380.844,-1.55396
1488.1062,380.944,-1.55705
1488.234,381.044,-1.55962
1488.3624,381.144,-1.56239
1488.4902,381.244,-1.56527
1488.6192,381.344,-1.56735
1488.7476,381.444,-1.56894
1488.876,381.544,-1.57052
1489.0044,381.644,-1.57234
1489.1334,381.744,-1.57465
1489.2612,381.844,-1.57708
1489.389,381.944,-1.57815
1489.5168,382.044,-1.57889
1489.6458,382.144,-1.5808
1489.7742,382.244,-1.58255
1489.902,382.344,-1.58412
1490.0286,382.444,-1.58652
1490.1558,382.544,-1.58887
1490.2824,382.644,-1.59045
1490.4096,382.744,-1.59141
1490.5374,382.844,-1.59265
1490.6646,382.944,-1.59471
1490.7918,383.044,-1.59708
1490.919,383.144,-1.59924
1491.0462,383.244,-1.60105
1491.1734,383.344,-1.6032
1491.2994,383.444,-1.60594
1491.4254,383.544,-1.60899
1491.5514,383.644,-1.61175
1491.6762,383.744,-1.61378
1491.8022,383.844,-1.6151
1491.9294,383.944,-1.61646
1492.0554,384.044,-1.61846
1492.1814,384.144,-1.6208
1492.3062,384.244,-1.62273
1492.4322,384.344,-1.62409
1492.5582,384.444,-1.62707
1492.6836,384.544,-1.63093
1492.8102,384.644,-1.63216
1492.9368,384.744,-1.63351
1493.0628,384.844,-1.63677
1493.1876,384.944,-1.63853
1493.3136,385.044,-1.63956
1493.4396,385.144,-1.64197
1493.565,385.244,-1.64368
1493.6904,385.344,-1.64468
1493.8152,385.444,-1.64689
1493.9406,385.544,-1.6485
1494.066,385.644,-1.64872
1494.1914,385.744,-1.65007
1494.3168,385.844,-1.65297
1494.4422,385.944,-1.65645
1494.5676,386.044,-1.65947
1494.6936,386.144,-1.66171
1494.819,386.244,-1.66366
1494.9444,386.344,-1.66629
1495.0692,386.444,-1.66938
1495.1946,386.544,-1.67115
1495.32,386.644,-1.67223
1495.4442,386.744,-1.6738
1495.5684,386.844,-1.6753
1495.6926,386.944,-1.67669
1495.8168,387.044,-1.67853
1495.941,387.144,-1.68114
1496.0658,387.244,-1.68408
1496.1912,387.344,-1.68603
1496.316,387.444,-1.68773
1496.4396,387.544,-1.69028
1496.5626,387.644,-1.69268
1496.6862,387.744,-1.69419
1496.8098,387.844,-1.69489
1496.9334,387.944,-1.69616
1497.0552,388.044,-1.69862
1497.1776,388.144,-1.70086
1497.3006,388.244,-1.70249
1497.4236,388.344,-1.7041
1497.5466,388.444,-1.70648
1497.6696,388.544,-1.70927
1497.792,388.644,-1.7108
1497.915,388.744,-1.71208
1498.038,388.844,-1.7145
1498.161,388.944,-1.71665
1498.2834,389.044,-1.71824
1498.4058,389.144,-1.72031
1498.5282,389.244,-1.72226
1498.6512,389.344,-1.72359
1498.7736,389.444,-1.7253
1498.896,389.544,-1.72773
1499.019,389.644,-1.73056
1499.1414,389.744,-1.73325
1499.2644,389.844,-1.73572
1499.3868,389.944,-1.73854
1499.5092,390.044,-1.74123
1499.6322,390.144,-1.74303
1499.7546,390.244,-1.74442
1499.877,390.344,-1.74596
1499.9988,390.444,-1.74799
1500.1206,390.544,-1.75039
1500.2424,390.644,-1.75317
1500.3642,390.744,-1.75687
1500.4854,390.844,-1.76042
1500.6066,390.944,-1.76182
1500.7284,391.044,-1.76297
1500.8502,391.144,-1.76556
1500.972,391.244,-1.76805
1501.0938,391.344,-1.77002
1501.215,391.444,-1.7721
1501.3362,391.544,-1.77456
1501.4574,391.644,-1.77723
1501.5786,391.744,-1.77955
1501.6998,391.844,-1.78158
1501.8216,391.944,-1.78385
1501.9434,392.044,-1.78688
1502.0646,392.144,-1.79032
1502.1858,392.244,-1.79279
1502.307,392.344,-1.79501
1502.4288,392.444,-1.79818
1502.5506,392.544,-1.80079
1502.6718,392.644,-1.80246
1502.7924,392.744,-1.80466
1502.9136,392.844,-1.8076
1503.0354,392.944,-1.81061
1503.1566,393.044,-1.81253
1503.2772,393.144,-1.81363
1503.3978,393.244,-1.81563
