Time,Mass,HRR,Back Surface Temperature
[s],[g],[kW/m2],[K]
612,-0.046921,-1.071947461,703.918
613,-0.041331,-0.750580608,704.534
614,-0.02759,-0.584302003,704.533
615,-0.039429,-0.646891714,704.612
616,-0.056205,-0.487936844,704.799
617,-0.044541,-0.295795507,704.893
618,-0.033107,-0.05221633,704.671
619,-0.040731,-0.227204259,703.932
620,-0.044432,-0.618317825,703.436
621,-0.036711,-2.12265859,702.83
622,-0.033102,-3.566044167,701.651
623,-0.040798,-4.662473165,701.084
624,-0.059226,-5.54884157,701.01
625,-0.054554,-4.091776979,700.85
626,-0.023506,-2.524762289,700.767
627,-0.018604,-2.450202512,700.784
628,-0.039307,-2.778277877,701.102
629,-0.043657,-3.149510502,701.366
630,-0.043754,-3.228274015,701.402
631,-0.044804,-3.442235785,701.306
632,-0.045807,-3.613104676,701.19
633,-0.044655,-3.583076203,701.555
634,-0.029766,-3.368690875,702.09
635,-0.039505,-3.120245601,702.052
636,-0.056065,-3.045348802,701.794
637,-0.046057,-2.77589353,702.391
638,-0.041583,-2.679718074,702.772
639,-0.053312,-3.162583693,702.647
640,-0.057447,-3.543768601,702.742
641,-0.045578,-3.649040792,702.446
642,-0.042162,-3.660625872,702.041
643,-0.037663,-3.632503209,702.068
644,-0.025116,-3.462003401,701.548
645,-0.024842,-3.179262735,701.064
646,-0.038529,-3.105116172,700.769
